,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint John,90,CA,1570544031,100,45.28,-66.06,13.33,2.6
1,Naze,100,NG,1570544072,94,5.43,7.07,23.31,2.82
2,Mahebourg,75,MU,1570544073,69,-20.41,57.7,23.33,7.2
3,Ushuaia,75,AR,1570543835,84,-54.81,-68.31,3.0,13.9
4,Cleethorpes,40,GB,1570544074,63,53.56,-0.03,16.11,9.3
5,Hilo,90,US,1570544075,73,19.71,-155.08,24.0,2.1
6,Atuona,2,PF,1570544075,77,-9.8,-139.03,25.91,7.1
7,Iisalmi,90,FI,1570544075,69,63.56,27.19,3.0,4.1
8,Busselton,100,AU,1570544076,49,-33.64,115.35,16.67,8.39
9,Barrow,12,AR,1570544076,36,-38.31,-60.23,16.81,5.85
10,Namatanai,43,PG,1570544077,85,-3.66,152.44,26.01,5.32
11,Rikitea,100,PF,1570544077,80,-23.12,-134.97,19.71,4.16
12,Oudtshoorn,20,ZA,1570544078,68,-33.59,22.2,21.0,4.6
13,Areka,100,ET,1570544079,84,7.07,37.71,20.61,1.38
14,Fortuna,1,US,1570544080,93,40.6,-124.16,11.11,1.5
15,Alabaster,90,US,1570544080,82,33.24,-86.82,20.0,1.5
16,Avarua,100,CK,1570544081,60,-21.21,-159.78,21.0,2.6
17,Taltal,0,CL,1570544082,54,-25.41,-70.49,17.91,2.61
18,Jamestown,0,AU,1570544082,88,-33.21,138.6,3.91,3.69
19,Kenora,16,CA,1570544083,76,49.76,-94.48,11.0,7.7
20,Jieshi,66,CN,1570544083,73,22.82,115.83,27.78,0.45
21,Tabou,92,CI,1570544083,71,4.42,-7.36,27.21,4.32
22,Mataura,100,NZ,1570544084,97,-46.19,168.86,10.56,0.45
23,Bida,73,NG,1570544084,74,9.08,6.02,27.81,4.86
24,Albany,75,US,1570544019,82,42.65,-73.75,14.44,1.5
25,Punta Arenas,40,CL,1570544085,56,-53.16,-70.91,7.0,15.9
26,Tsimlyansk,100,RU,1570544085,69,47.65,42.1,13.31,6.89
27,Guerrero Negro,0,MX,1570544085,77,27.97,-114.04,21.11,3.67
28,Floro,75,NO,1570544086,81,61.6,5.03,10.56,5.7
29,Ribeira Grande,20,PT,1570544086,56,38.52,-28.7,22.0,7.2
30,Margate,40,AU,1570544086,70,-43.03,147.26,7.0,3.1
31,San Luis,0,AR,1570544087,24,-33.3,-66.34,26.41,2.5
32,Hermanus,0,ZA,1570544087,61,-34.42,19.24,19.44,6.26
33,Santa Isabel do Rio Negro,74,BR,1570544088,46,-0.41,-65.02,33.81,1.63
34,Ponta do Sol,99,BR,1570544088,83,-20.63,-46.0,21.01,2.85
35,Czluchow,100,PL,1570544089,92,53.67,17.36,7.22,3.58
36,Aklavik,5,CA,1570544089,85,68.22,-135.01,-3.0,2.6
37,Hobart,40,AU,1570543923,70,-42.88,147.33,7.0,3.1
38,Yellowknife,40,CA,1570543932,79,62.45,-114.38,-3.0,6.7
39,High Level,90,CA,1570544090,79,58.52,-117.13,-3.0,4.6
40,Pilar,0,AR,1570544090,30,-34.46,-58.91,24.44,4.6
41,Tuktoyaktuk,75,CA,1570544091,86,69.44,-133.03,-3.0,6.7
42,Ewa Beach,75,US,1570544092,65,21.32,-158.01,26.0,3.55
43,Torbay,90,CA,1570544092,72,47.66,-52.73,17.78,10.3
44,Cape Town,40,ZA,1570544092,59,-33.93,18.42,19.44,7.2
45,Evensk,0,RU,1570544093,51,61.92,159.24,-6.9,4.51
46,Saldanha,97,PT,1570544093,39,41.42,-6.55,26.91,3.64
47,Saint-Philippe,1,CA,1570544094,71,45.36,-73.48,13.0,2.99
48,Rocha,0,UY,1570544094,47,-34.48,-54.34,20.01,4.72
49,Kathmandu,40,NP,1570543864,82,27.71,85.32,20.0,4.1
50,Rock Sound,83,BS,1570544096,80,24.9,-76.2,28.21,6.36
51,Carnarvon,0,ZA,1570544097,10,-30.97,22.13,26.51,6.16
52,Cecina,0,IT,1570544097,53,43.31,10.52,24.44,2.6
53,Port Alfred,0,ZA,1570544098,78,-33.59,26.89,20.0,0.45
54,Pangnirtung,90,CA,1570544098,84,66.15,-65.72,3.0,1.0
55,Vaini,40,IN,1570544098,88,15.34,74.49,23.0,0.58
56,Braganca,100,BR,1570544099,64,-1.05,-46.77,29.71,3.2
57,Puri,96,ID,1570543714,79,-7.54,112.45,23.61,3.36
58,Pouebo,78,NC,1570544099,85,-20.4,164.57,16.81,1.56
59,Butaritari,100,KI,1570544099,64,3.07,172.79,29.71,3.84
60,Ilulissat,20,GL,1570544100,58,69.22,-51.1,-1.0,1.5
61,Tiksi,100,RU,1570544100,85,71.64,128.87,-3.7,8.04
62,Thompson,75,CA,1570544100,93,55.74,-97.86,6.0,1.5
63,Upernavik,100,GL,1570543931,48,72.79,-56.15,-1.5,3.02
64,Puerto Ayora,20,EC,1570544102,68,-0.74,-90.35,22.0,6.7
65,Chumikan,100,RU,1570544102,99,54.72,135.31,1.01,1.61
66,Constitucion,5,MX,1570544103,76,23.99,-104.67,13.89,2.42
67,Auki,95,NG,1570544103,59,12.18,6.51,29.11,1.88
68,Tezu,87,IN,1570544104,79,27.93,96.16,21.41,1.45
69,Hasaki,75,JP,1570544105,100,35.73,140.83,21.11,3.1
70,Poya,60,NC,1570544106,70,-21.35,165.16,21.31,2.9
71,Manakara,1,MG,1570544106,82,-22.14,48.01,22.81,3.5
72,Karratha,0,AU,1570543552,32,-20.74,116.85,25.01,3.74
73,Cabo San Lucas,5,MX,1570543873,73,22.89,-109.91,28.33,2.48
74,San Patricio,0,PY,1570544110,43,-26.98,-56.83,27.21,2.47
75,Awbari,0,LY,1570543554,9,26.59,12.77,31.81,7.15
76,Ginir,90,ET,1570544111,88,7.14,40.71,16.11,0.28
77,Lagoa,0,PT,1570544112,65,37.14,-8.45,26.67,2.1
78,Ilinge,0,ZA,1570544112,17,-31.98,27.04,25.61,1.12
79,Tasiilaq,75,GL,1570544113,60,65.61,-37.64,5.0,2.6
80,Lipin Bor,100,RU,1570544113,97,60.26,37.97,0.41,5.44
81,Jegunovce,0,MK,1570544114,32,42.07,21.12,20.0,3.6
82,Najran,0,SA,1570544114,18,17.54,44.22,32.0,4.1
83,Bambous Virieux,75,MU,1570544114,69,-20.34,57.76,23.33,7.2
84,Roald,75,NO,1570544115,87,62.58,6.12,10.0,4.1
85,Hami,54,CN,1570544116,23,42.84,93.51,15.21,1.02
86,Matagami,75,NG,1570544116,88,9.67,8.4,20.0,7.7
87,Buala,96,SB,1570544117,79,-8.15,159.59,26.91,1.84
88,Qaanaaq,100,GL,1570544117,72,77.48,-69.36,-6.9,5.05
89,Kutum,2,SD,1570543531,35,14.2,24.66,29.41,4.47
90,Hovd,0,NO,1570544117,52,63.83,10.7,10.56,9.8
91,Am Timan,92,TD,1570544118,77,11.04,20.28,27.61,1.83
92,Sydney,75,AU,1570543977,62,-33.85,151.22,13.0,7.2
93,Waingapu,0,ID,1570544118,68,-9.65,120.26,22.11,2.19
94,Mar del Plata,85,AR,1570544092,36,-46.43,-67.52,12.01,9.54
95,Meadow Lake,90,CA,1570544119,79,54.13,-108.44,-2.0,8.7
96,Kapaa,75,US,1570544119,83,22.08,-159.32,26.0,2.6
97,Cherskiy,91,RU,1570544120,96,68.75,161.3,-5.6,5.44
98,Carmo,100,BR,1570544120,57,-21.93,-42.61,28.81,1.44
99,Lamu,100,CN,1570544121,74,35.77,102.37,8.81,1.88
100,Cockburn Town,98,TC,1570544121,80,21.46,-71.14,28.51,6.9
101,Airai,0,TL,1570544121,82,-8.93,125.41,20.61,1.69
102,Bredasdorp,0,ZA,1570544121,36,-34.53,20.04,24.0,9.8
103,Montemorelos,11,MX,1570544122,67,25.19,-99.83,24.71,0.99
104,Lake City,1,US,1570544122,53,38.03,-107.32,7.22,3.24
105,Leh,0,IN,1570544122,35,34.16,77.58,-0.1,2.76
106,Banfora,100,BF,1570544123,59,10.64,-4.75,30.71,2.3
107,Hithadhoo,0,MV,1570544123,72,-0.6,73.08,27.71,5.33
108,Okhotsk,100,RU,1570544124,96,59.36,143.24,-1.8,4.87
109,Victoria,75,BN,1570544067,88,5.28,115.24,27.0,0.5
110,Verin,42,ES,1570544124,74,41.94,-7.44,22.78,4.47
111,Paamiut,100,GL,1570544124,78,61.99,-49.67,4.31,3.08
112,Vestmannaeyjar,75,IS,1570544124,87,63.44,-20.27,11.0,3.1
113,Camacha,40,PT,1570544125,69,33.08,-16.33,25.0,7.2
114,Codrington,90,AU,1570544126,82,-28.95,153.24,19.0,3.6
115,Vila do Maio,20,CV,1570544126,55,15.13,-23.22,31.0,7.2
116,Nikolskoye,75,RU,1570544126,48,59.7,30.79,6.11,5.0
117,Meulaboh,100,ID,1570544127,80,4.14,96.13,26.71,4.47
118,Bluff,50,AU,1570544127,27,-23.58,149.07,23.71,4.2
119,Mutoko,87,ZW,1570544128,25,-17.4,32.23,29.51,4.03
120,Longyearbyen,75,NO,1570544128,93,78.22,15.63,2.0,1.0
121,Adrar,0,DZ,1570544129,19,27.87,-0.29,33.0,8.7
122,Mazyr,100,BY,1570544129,60,52.05,29.27,7.11,3.31
123,Shimoda,83,JP,1570544129,75,34.7,138.93,22.78,3.13
124,Arraial do Cabo,40,BR,1570544130,83,-22.97,-42.02,27.0,4.1
125,Zhezkazgan,0,KZ,1570544130,18,47.8,67.71,18.0,2.23
126,Moerai,61,PF,1570544130,59,-22.43,-151.33,20.01,6.7
127,East London,0,ZA,1570544131,56,-33.02,27.91,22.0,5.1
128,Nanchang,1,CN,1570544131,74,28.68,115.89,17.11,1.93
129,Pacifica,20,US,1570544131,82,37.61,-122.49,16.11,1.5
130,Podor,64,MR,1570544132,28,16.65,-14.96,37.41,7.09
131,Bonavista,100,CA,1570543533,82,48.65,-53.11,16.67,6.71
132,Grindavik,0,IS,1570544132,71,63.84,-22.43,12.0,4.6
133,Sobolevo,100,RU,1570544133,97,54.43,31.9,3.01,4.93
134,Lebu,75,ET,1570544133,43,8.96,38.73,23.0,6.2
135,Carutapera,89,BR,1570544134,59,-1.2,-46.02,30.51,5.28
136,Ozernovskiy,93,RU,1570544134,80,51.5,156.52,5.81,5.17
137,Terney,100,RU,1570544134,89,45.05,136.61,5.31,7.36
138,Pitelino,83,RU,1570544136,68,54.58,41.81,2.91,2.23
139,Pevek,100,RU,1570544137,93,69.7,170.27,-0.1,9.54
140,Klyuchi,0,RU,1570544137,58,52.25,79.17,14.11,3.29
141,Lavrentiya,100,RU,1570544137,98,65.58,-170.99,0.61,3.32
142,Port Elizabeth,20,US,1570544138,67,39.31,-74.98,17.78,7.2
143,Linjiang,0,CN,1570544139,66,41.81,126.91,0.51,1.28
144,Raudeberg,75,NO,1570544140,81,61.99,5.14,10.0,5.7
145,Mount Isa,0,AU,1570544140,14,-20.73,139.49,27.0,9.3
146,Ivdel,75,RU,1570544141,85,60.7,60.42,4.11,2.6
147,Siyabuswa,28,ZA,1570544141,7,-25.11,29.06,36.11,4.89
148,Kushiro,79,JP,1570544141,91,43.11,144.15,14.91,6.15
149,Porto Nacional,40,BR,1570544142,62,-10.7,-48.41,30.0,2.6
150,Harare,0,ZW,1570544142,25,-17.83,31.05,29.0,3.6
151,Sao Filipe,10,CV,1570544142,83,14.9,-24.5,25.31,5.26
152,Denpasar,20,ID,1570544143,88,-8.65,115.22,26.0,1.5
153,Provideniya,100,RU,1570544143,99,64.42,-173.23,0.91,3.4
154,New Norfolk,40,AU,1570544143,70,-42.78,147.06,7.0,3.1
155,Port Lincoln,2,AU,1570544143,67,-34.72,135.86,12.11,5.39
156,Kavaratti,1,IN,1570544144,69,10.57,72.64,28.61,2.71
157,Brokopondo,40,SR,1570544144,62,5.06,-54.98,31.11,4.6
158,Xinqing,0,CN,1570544145,67,48.28,129.53,0.81,2.34
159,Georgetown,75,GY,1570544136,70,6.8,-58.16,31.0,4.1
160,Geraldton,20,CA,1570544145,86,49.72,-86.95,5.0,2.6
161,Lompoc,40,US,1570543911,87,34.64,-120.46,13.89,2.57
162,Port Hardy,75,CA,1570544146,86,50.7,-127.42,4.0,3.6
163,Kidal,48,ML,1570544146,12,18.44,1.41,40.71,2.9
164,Bowen,0,AU,1570544146,94,-20.01,148.25,20.0,3.6
165,Ehingen,90,DE,1570544147,100,49.09,10.54,14.44,3.1
166,Husavik,0,CA,1570544147,60,50.56,-96.99,11.67,3.58
167,Umkomaas,0,ZA,1570544147,71,-30.21,30.8,23.89,0.89
168,Mehamn,40,NO,1570544147,78,71.03,27.85,4.0,0.5
169,Ayr,0,AU,1570544148,86,-19.58,147.4,19.44,1.14
170,Impfondo,22,CD,1570544148,63,1.62,18.06,29.41,1.0
171,Saint George,90,GR,1570544148,100,39.45,22.34,18.0,3.1
172,Xiongzhou,20,CN,1570544148,100,32.34,118.83,17.78,1.0
173,Pontes e Lacerda,99,BR,1570544149,43,-15.23,-59.33,31.71,2.51
174,Akron,1,US,1570544122,93,41.08,-81.52,15.56,3.3
175,Dhekiajuli,44,IN,1570544149,86,26.71,92.48,15.41,2.71
176,Eydhafushi,100,MV,1570544149,71,5.1,73.07,28.51,3.09
177,Henties Bay,9,NA,1570544150,87,-22.12,14.28,17.22,2.68
178,Kodiak,1,US,1570544150,76,39.95,-94.76,13.33,3.1
179,Chokurdakh,87,RU,1570544150,99,70.62,147.9,-12.7,0.62
180,Paita,0,PE,1570544151,290,-5.09,-81.11,17.0,8.2
181,Altamira,58,BR,1570544151,43,-3.2,-52.21,34.41,2.23
182,Faanui,62,PF,1570544151,84,-16.48,-151.75,25.11,9.54
183,Russell,1,US,1570543993,66,38.9,-98.86,13.89,6.2
184,Praia da Vitoria,40,PT,1570544152,64,38.73,-27.07,20.0,5.38
185,Beruwala,100,LK,1570544152,78,6.48,79.98,27.91,5.81
186,Sola,57,TZ,1570544152,19,-3.17,33.8,30.61,3.34
187,Tiznit,0,MA,1570544152,81,29.7,-9.73,20.81,3.12
188,Adelaide,75,AU,1570544062,66,-34.93,138.6,11.67,3.1
189,Sivani,0,IN,1570544153,74,22.09,79.55,21.41,4.3
190,Novi Bilokorovychi,100,UA,1570544153,58,51.12,28.05,7.21,2.95
191,Kaitangata,100,NZ,1570544154,91,-46.28,169.85,10.0,1.34
192,Weligama,100,LK,1570544154,77,5.97,80.42,28.01,4.64
193,Sinnamary,0,GF,1570544154,77,5.38,-52.96,28.41,7.15
194,Itambacuri,89,BR,1570544154,48,-18.04,-41.68,29.11,1.67
195,Fort Nelson,90,CA,1570544155,79,58.81,-122.69,-2.0,2.6
196,Chuy,0,UY,1570544155,51,-33.69,-53.46,19.81,2.03
197,Beringovskiy,99,RU,1570543932,84,63.05,179.32,-1.1,2.29
198,Nouadhibou,0,MR,1570544156,36,20.93,-17.03,33.0,3.6
199,Iqaluit,90,CA,1570544157,86,63.75,-68.52,4.0,1.0
200,Honningsvag,40,NO,1570544157,68,70.98,25.97,3.0,0.5
201,Pathein,100,MM,1570544157,87,16.78,94.73,25.21,2.18
202,Schaffhausen,75,CH,1570544062,55,47.7,8.63,18.33,3.1
203,Cidreira,86,BR,1570544158,54,-30.17,-50.22,23.51,4.3
204,Hualmay,100,PE,1570544158,88,-11.1,-77.61,15.41,5.76
205,Richards Bay,0,ZA,1570543874,80,-28.77,32.06,21.21,4.86
206,Berlevag,40,NO,1570544158,71,70.86,29.09,4.0,7.7
207,Zdolbuniv,0,UA,1570544159,37,50.52,26.24,10.0,7.0
208,Noumea,90,NC,1570543870,82,-22.28,166.46,23.89,0.5
209,Gorom-Gorom,60,BF,1570544159,14,14.45,-0.24,39.81,3.83
210,Klaksvik,64,FO,1570544160,100,62.23,-6.59,9.0,10.8
211,Mugur-Aksy,0,RU,1570544160,60,50.38,90.44,-1.2,1.76
212,Souillac,90,FR,1570544160,73,45.6,-0.6,22.78,5.1
213,West Bay,75,CA,1570544161,70,49.34,-123.21,9.44,7.7
214,Emerald,51,AU,1570544161,24,-23.53,148.16,27.0,3.6
215,Yulara,0,AU,1570544161,25,-25.24,130.99,23.0,5.7
216,Shaki,40,AM,1570544162,15,39.56,46.0,28.0,2.1
217,Paungde,0,MM,1570544162,81,18.49,95.51,25.21,1.04
218,Westport,75,US,1570544163,72,41.14,-73.36,16.67,3.1
219,Yumen,89,CN,1570544163,35,40.29,97.04,13.21,2.21
220,Jining,85,CN,1570544163,50,35.41,116.58,17.71,2.58
221,Salalah,40,OM,1570544164,74,17.01,54.1,28.0,4.1
222,Nicoya,40,CR,1570543926,94,10.15,-85.45,25.0,1.5
223,Tura,0,RU,1570544164,85,64.27,100.22,-10.0,2.33
224,Port Macquarie,13,AU,1570543890,44,-31.43,152.91,15.0,6.7
225,Severo-Kurilsk,71,RU,1570544165,84,50.68,156.12,7.41,6.75
226,Havre-Saint-Pierre,90,CA,1570544165,93,50.23,-63.6,9.0,6.7
227,Castro,90,CL,1570544165,87,-42.48,-73.76,8.0,2.1
228,Champerico,90,MX,1570544165,88,16.38,-93.6,22.0,2.35
229,Itoman,75,JP,1570544166,78,26.12,127.67,26.0,4.1
230,Lewiston,1,US,1570544166,82,44.1,-70.21,14.44,2.1
231,Egvekinot,100,RU,1570544166,96,66.32,-179.17,-2.5,3.75
232,Sumbawanga,20,TZ,1570544167,29,-7.95,31.62,26.0,4.6
233,Valparaiso,1,US,1570544067,76,41.47,-87.06,14.44,2.1
234,Shitanjing,99,CN,1570544167,21,39.23,106.34,15.56,3.16
235,Maple Creek,100,CA,1570544168,87,49.91,-109.46,5.61,5.02
236,Pinos,20,ES,1570544168,57,38.68,-0.01,27.78,3.6
237,Sarh,40,TD,1570544168,49,9.14,18.39,32.0,2.1
238,Outjo,22,NA,1570544168,9,-20.11,16.16,35.0,2.1
239,Hambantota,70,LK,1570544169,78,6.12,81.12,27.61,5.77
240,Simao,4,CN,1570544169,81,22.76,100.79,17.01,0.33
241,Alofi,100,NU,1570544115,78,-19.06,-169.92,23.0,4.1
242,Sistranda,0,NO,1570544170,57,63.73,8.83,10.56,6.2
243,Jurm,38,AF,1570544170,41,36.86,70.83,10.41,1.64
244,Walvis Bay,3,NA,1570544170,52,-22.95,14.51,21.0,3.1
245,Saskylakh,54,RU,1570544171,96,71.97,114.09,-9.3,4.41
246,Srednekolymsk,0,RU,1570544171,91,67.46,153.71,-12.6,1.62
247,Portland,75,US,1570544135,87,43.66,-70.25,14.44,2.6
248,Kodinsk,0,RU,1570544171,88,58.6,99.18,-2.5,2.23
249,Ahmadnagar,34,IN,1570544172,73,19.09,74.75,24.91,2.99
250,Kalmunai,12,LK,1570544172,90,7.42,81.82,24.71,1.98
251,Sakaraha,94,MG,1570544173,33,-22.91,44.53,28.71,3.6
252,Comodoro Rivadavia,40,AR,1570544169,52,-45.87,-67.48,16.0,8.7
253,Miandrivazo,99,MG,1570544174,41,-19.53,45.46,30.41,2.75
254,Taoudenni,17,ML,1570544174,5,22.68,-3.98,39.91,7.73
255,Balikpapan,28,ID,1570544174,97,-1.24,116.86,22.81,1.32
256,Ostrovnoy,100,RU,1570544175,90,68.05,39.51,2.71,8.83
257,Namibe,90,AO,1570544175,69,-15.19,12.15,23.0,6.7
258,Mandera,64,ET,1570544176,43,3.94,41.86,31.31,1.83
259,Ukiah,1,US,1570544116,75,39.15,-123.21,16.67,1.65
260,Labytnangi,100,RU,1570544177,87,66.66,66.39,-1.5,1.64
261,Lorengau,4,PG,1570544178,86,-2.02,147.27,26.11,1.98
262,Christchurch,100,NZ,1570544041,63,-43.53,172.64,16.11,4.1
263,Isangel,100,VU,1570544178,77,-19.55,169.27,23.61,4.91
264,Bremervorde,40,DE,1570544179,77,53.48,9.13,15.56,7.2
265,Mabaruma,100,GY,1570544179,57,8.2,-59.78,31.81,2.2
266,Inyonga,87,TZ,1570544180,23,-6.72,32.06,29.91,2.12
267,Gasa,100,BT,1570544180,96,27.91,89.73,0.71,3.48
268,Cururupu,100,BR,1570544180,60,-1.82,-44.87,29.51,3.06
269,Kalabo,49,ZM,1570544181,20,-15.0,22.67,32.31,5.37
270,Berdigestyakh,92,RU,1570544182,96,62.1,126.7,-3.7,2.55
271,Aykhal,90,RU,1570544183,92,65.95,111.51,-9.0,4.0
272,Vanavara,0,RU,1570544183,76,60.35,102.28,-4.9,2.73
273,Narsaq,75,GL,1570544183,82,60.91,-46.05,4.0,1.0
274,Kruisfontein,0,ZA,1570544184,75,-34.0,24.73,17.71,2.89
275,Kihei,1,US,1570544184,82,20.76,-156.45,23.89,2.1
276,Arsk,75,RU,1570544184,75,56.09,49.88,5.0,4.0
277,Bako,100,BF,1570544185,41,12.29,-0.73,33.91,3.59
